epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7685,2.20169,4.27227,2.06208,0.00327,0.74286,0.21492,0.07951,1.52328,4.11713,1.63761,0.00018,0.00018,0.00018
2,95.2469,1.82728,2.51689,1.63932,0.00421,0.95714,0.3291,0.15416,1.46309,3.68914,1.40996,0.00036746,0.00036746,0.00036746
3,143.182,1.69454,2.04466,1.51396,0.00409,0.92857,0.3344,0.14494,1.5015,3.58554,1.401,0.00054172,0.00054172,0.00054172
4,191.491,1.68556,2.1623,1.46754,0.00736,0.81429,0.33714,0.14951,1.46558,3.63859,1.37788,0.00070278,0.00070278,0.00070278
5,240.274,1.65282,1.84434,1.45999,0.00654,0.75668,0.3496,0.14043,1.53666,3.60037,1.44284,0.00085064,0.00085064,0.00085064
6,290.705,1.56616,1.75383,1.37196,1,0.11339,0.35161,0.18999,1.47521,3.29151,1.38848,0.0009853,0.0009853,0.0009853
7,344.767,1.56802,1.75948,1.3544,0.88477,0.21957,0.45256,0.18631,1.52163,3.22056,1.38472,0.00110676,0.00110676,0.00110676
8,398.945,1.47314,1.65029,1.31686,0.43564,0.42857,0.42642,0.19232,1.75377,3.05911,1.45952,0.00121502,0.00121502,0.00121502
9,454.548,1.5001,1.49607,1.30002,0.65115,0.72857,0.71986,0.33982,1.65258,2.41039,1.53243,0.00131008,0.00131008,0.00131008
10,511.713,1.51393,1.48007,1.3104,0.70196,0.68571,0.75474,0.32841,1.71047,2.24751,1.55008,0.00139194,0.00139194,0.00139194
11,567.557,1.57614,1.51019,1.36225,0.59147,0.71429,0.62983,0.23918,1.81219,2.19247,1.68701,0.00134,0.00134,0.00134
12,624.979,1.67127,1.53174,1.40872,0.70303,0.91429,0.86046,0.40958,1.56113,1.85816,1.45574,0.001274,0.001274,0.001274
13,684.609,1.58122,1.45935,1.36678,0.91582,0.9,0.92309,0.40406,1.64525,1.76084,1.50593,0.001208,0.001208,0.001208
14,744.563,1.51188,1.32867,1.27712,0.9468,0.88571,0.96539,0.46739,1.55788,1.50329,1.41785,0.001142,0.001142,0.001142
15,804.281,1.48986,1.3253,1.30957,0.79636,0.94976,0.92084,0.44217,1.55976,1.57411,1.40992,0.001076,0.001076,0.001076
16,864.664,1.36675,1.26012,1.28644,0.85085,0.95714,0.92275,0.44669,1.59284,1.40586,1.42439,0.00101,0.00101,0.00101
17,925.262,1.39502,1.24607,1.26809,0.90424,0.91429,0.95396,0.44121,1.66513,1.30919,1.46962,0.000944,0.000944,0.000944
18,987.791,1.44501,1.22659,1.29468,0.87156,0.96937,0.96687,0.48771,1.57915,1.23854,1.4045,0.000878,0.000878,0.000878
19,1049.37,1.38222,1.16051,1.2624,0.92815,0.92279,0.96092,0.47952,1.58252,1.27191,1.40835,0.000812,0.000812,0.000812
20,1107.6,1.3514,1.10285,1.2571,0.95861,0.99265,0.992,0.51246,1.53409,1.20378,1.38364,0.000746,0.000746,0.000746
21,1167.26,1.2948,1.10142,1.22397,0.89663,0.99136,0.97995,0.47194,1.62484,1.24863,1.43192,0.00068,0.00068,0.00068
22,1227.75,1.29125,1.08044,1.21657,0.91764,0.95714,0.98519,0.51422,1.53772,1.18915,1.354,0.000614,0.000614,0.000614
23,1287.06,1.21312,1.00491,1.17321,0.91398,0.98571,0.95766,0.52431,1.49537,1.08495,1.33611,0.000548,0.000548,0.000548
24,1345.63,1.21116,0.94781,1.17975,0.97058,0.94269,0.95903,0.52667,1.47759,1.07651,1.35802,0.000482,0.000482,0.000482
25,1404.38,1.21964,0.94443,1.18581,0.95755,0.96666,0.96737,0.55713,1.47592,1.06717,1.372,0.000416,0.000416,0.000416
26,1465.45,1.23809,0.94843,1.19351,0.97178,0.98388,0.99023,0.56184,1.43171,1.01984,1.3344,0.00035,0.00035,0.00035
27,1530.75,1.15678,0.90883,1.15072,0.9555,0.97143,0.96941,0.55384,1.44368,0.99809,1.32131,0.000284,0.000284,0.000284
28,1591,1.15646,0.86979,1.15271,0.94386,0.97143,0.96639,0.5498,1.47793,0.97475,1.32976,0.000218,0.000218,0.000218
29,1677.3,1.12085,0.84516,1.12542,0.92854,0.97143,0.96559,0.54304,1.47503,0.96222,1.32659,0.000152,0.000152,0.000152
30,1729.5,1.13026,0.85623,1.13519,0.97796,0.94286,0.96788,0.54592,1.45572,0.94901,1.31663,8.6e-05,8.6e-05,8.6e-05
